Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A6NHQ2	reviewed	FBLL1_HUMAN	RNA 2'-O-methyltransferase FBLL1 (EC 2.1.1.-) (Fibrillarin like 1)	FBLL1	Homo sapiens (Human)	334	box C/D methylation guide snoRNP complex [GO:0031428]; Cajal body [GO:0015030]; fibrillar center [GO:0001650]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]; histone H2AQ104 methyltransferase activity [GO:1990259]; RNA 2'-O-methyltransferase activity [GO:0062105]; RNA binding [GO:0003723]; rRNA methyltransferase activity [GO:0008649]; blastocyst hatching [GO:0001835]; box C/D sno(s)RNA 3'-end processing [GO:0000494]; mRNA stabilization [GO:0048255]; rRNA methylation [GO:0031167]
A7MD48	reviewed	SRRM4_HUMAN	Serine/arginine repetitive matrix protein 4 (Medulloblastoma antigen MU-MB-2.76) (Neural-specific serine/arginine repetitive splicing factor of 100 kDa) (Neural-specific SR-related protein of 100 kDa) (nSR100)	SRRM4 KIAA1853	Homo sapiens (Human)	611	nucleus [GO:0005634]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; cell differentiation [GO:0030154]; mRNA processing [GO:0006397]; nervous system development [GO:0007399]; neuron maturation [GO:0042551]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380]; sensory perception of sound [GO:0007605]
A9UHW6	reviewed	MI4GD_HUMAN	MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1)	MIF4GD SLIP1	Homo sapiens (Human)	222	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; histone mRNA stem-loop binding complex [GO:0062073]; nucleolus [GO:0005730]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; translation activator activity [GO:0008494]; cap-dependent translational initiation [GO:0002191]; regulation of translational initiation [GO:0006446]
C9JE40	reviewed	PATL2_HUMAN	Protein PAT1 homolog 2 (PAT1-like protein 2) (Protein PAT1 homolog a) (Pat1a) (hPat1a)	PATL2	Homo sapiens (Human)	543	cytoplasm [GO:0005737]; nucleus [GO:0005634]; P-body [GO:0000932]; RNA binding [GO:0003723]; deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; negative regulation of cytoplasmic mRNA processing body assembly [GO:0010607]; negative regulation of translation [GO:0017148]; P-body assembly [GO:0033962]
F1T0F8	unreviewed	F1T0F8_HUMAN	Paired box protein Pax-6 (Oculorhombin)	PAX6	Homo sapiens (Human)	436	chromatin [GO:0000785]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; chromatin DNA binding [GO:0031490]; co-SMAD binding [GO:0070410]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; histone acetyltransferase binding [GO:0035035]; HMG box domain binding [GO:0071837]; protein kinase binding [GO:0019901]; R-SMAD binding [GO:0070412]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; transcription coregulator binding [GO:0001221]; ubiquitin protein ligase binding [GO:0031625]; astrocyte differentiation [GO:0048708]; axon guidance [GO:0007411]; cell fate determination [GO:0001709]; cellular response to leukemia inhibitory factor [GO:1990830]; cerebral cortex regionalization [GO:0021796]; chromatin remodeling [GO:0006338]; commitment of neuronal cell to specific neuron type in forebrain [GO:0021902]; dorsal/ventral axis specification [GO:0009950]; embryonic camera-type eye morphogenesis [GO:0048596]; establishment of mitotic spindle orientation [GO:0000132]; eye photoreceptor cell development [GO:0042462]; forebrain dorsal/ventral pattern formation [GO:0021798]; forebrain-midbrain boundary formation [GO:0021905]; habenula development [GO:0021986]; keratinocyte differentiation [GO:0030216]; lacrimal gland development [GO:0032808]; lens development in camera-type eye [GO:0002088]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of neuron differentiation [GO:0045665]; neuroblast proliferation [GO:0007405]; neuron migration [GO:0001764]; oligodendrocyte cell fate specification [GO:0021778]; pancreatic A cell development [GO:0003322]; pituitary gland development [GO:0021983]; positive regulation of epithelial cell differentiation [GO:0030858]; positive regulation of gene expression [GO:0010628]; positive regulation of neuroblast proliferation [GO:0002052]; protein localization to organelle [GO:0033365]; regulation of asymmetric cell division [GO:0009786]; regulation of cell migration [GO:0030334]; regulation of timing of cell differentiation [GO:0048505]; retina development in camera-type eye [GO:0060041]; salivary gland morphogenesis [GO:0007435]; signal transduction involved in regulation of gene expression [GO:0023019]; smoothened signaling pathway [GO:0007224]; transcription by RNA polymerase II [GO:0006366]; type B pancreatic cell differentiation [GO:0003309]; ventral spinal cord development [GO:0021517]; visual perception [GO:0007601]
K9JA46	unreviewed	K9JA46_HUMAN	Epididymis luminal secretory protein 52 (Epididymis secretory sperm binding protein Li 65p)	EL52 HEL-S-65p	Homo sapiens (Human)	732	apical plasma membrane [GO:0016324]; axonal growth cone [GO:0044295]; basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic growth cone [GO:0044294]; melanosome [GO:0042470]; myelin sheath [GO:0043209]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]; sperm mitochondrial sheath [GO:0097226]; sperm plasma membrane [GO:0097524]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; CTP binding [GO:0002135]; dATP binding [GO:0032564]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; nitric-oxide synthase regulator activity [GO:0030235]; protein phosphatase binding [GO:0019903]; Rho GDP-dissociation inhibitor binding [GO:0051022]; sulfonylurea receptor binding [GO:0017098]; tau protein binding [GO:0048156]; transmembrane transporter binding [GO:0044325]; unfolded protein binding [GO:0051082]; UTP binding [GO:0002134]; cardiac muscle cell apoptotic process [GO:0010659]; cellular response to heat [GO:0034605]; neuron migration [GO:0001764]; positive regulation of cardiac muscle contraction [GO:0060452]; positive regulation of cell size [GO:0045793]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of protein import into nucleus [GO:0042307]; regulation of postsynaptic membrane neurotransmitter receptor levels [GO:0099072]; response to antibiotic [GO:0046677]; response to cocaine [GO:0042220]; response to cold [GO:0009409]; response to estrogen [GO:0043627]; response to heat [GO:0009408]; response to salt stress [GO:0009651]; response to xenobiotic stimulus [GO:0009410]; skeletal muscle contraction [GO:0003009]
O00148	reviewed	DX39A_HUMAN	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)	DDX39A DDX39	Homo sapiens (Human)	427	cytoplasm [GO:0005737]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of innate immune response [GO:0045824]; negative regulation of RNA export from nucleus [GO:0046832]; RNA export from nucleus [GO:0006405]
O00178	reviewed	GTPB1_HUMAN	GTP-binding protein 1 (G-protein 1) (GP-1) (GP1)	GTPBP1	Homo sapiens (Human)	669	cytoplasmic exosome (RNase complex) [GO:0000177]; cytosol [GO:0005829]; membrane [GO:0016020]; alpha-aminoacyl-tRNA binding [GO:1904678]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; RNA binding [GO:0003723]; translation elongation factor activity [GO:0003746]; tRNA binding [GO:0000049]; cytoplasmic translation [GO:0002181]; GTP metabolic process [GO:0046039]; immune response [GO:0006955]; positive regulation of mRNA catabolic process [GO:0061014]; signal transduction [GO:0007165]; translational elongation [GO:0006414]
O00257	reviewed	CBX4_HUMAN	E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2)	CBX4	Homo sapiens (Human)	560	nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PcG protein complex [GO:0031519]; PRC1 complex [GO:0035102]; chromatin binding [GO:0003682]; enzyme binding [GO:0019899]; phosphoprotein binding [GO:0051219]; single-stranded RNA binding [GO:0003727]; SUMO binding [GO:0032183]; SUMO ligase activity [GO:0061665]; SUMO transferase activity [GO:0019789]; transcription cis-regulatory region binding [GO:0000976]; transcription corepressor activity [GO:0003714]; chromatin organization [GO:0006325]; negative regulation of apoptotic process [GO:0043066]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; protein sumoylation [GO:0016925]
O00267	reviewed	SPT5H_HUMAN	Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein)	SUPT5H SPT5 SPT5H	Homo sapiens (Human)	1087	DSIF complex [GO:0032044]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; enzyme binding [GO:0019899]; mRNA binding [GO:0003729]; protein heterodimerization activity [GO:0046982]; RNA binding [GO:0003723]; negative regulation of DNA-templated transcription, elongation [GO:0032785]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of macroautophagy [GO:0016239]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; regulation of transcription elongation by RNA polymerase II [GO:0034243]; transcription elongation by RNA polymerase II [GO:0006368]; transcription elongation-coupled chromatin remodeling [GO:0140673]
O00370	reviewed	LORF2_HUMAN	LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]		Homo sapiens (Human)	1275	metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; type II site-specific deoxyribonuclease activity [GO:0009036]; DNA recombination [GO:0006310]; nucleic acid metabolic process [GO:0090304]; retrotransposition [GO:0032197]
O00410	reviewed	IPO5_HUMAN	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)	IPO5 KPNB3 RANBP5	Homo sapiens (Human)	1097	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; GTPase inhibitor activity [GO:0005095]; nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; RNA binding [GO:0003723]; small GTPase binding [GO:0031267]; cellular response to amino acid stimulus [GO:0071230]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; negative regulation of cell cycle [GO:0045786]; NLS-bearing protein import into nucleus [GO:0006607]; positive regulation of protein import into nucleus [GO:0042307]; protein import into nucleus [GO:0006606]; ribosomal protein import into nucleus [GO:0006610]
O00411	reviewed	RPOM_HUMAN	DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)	POLRMT	Homo sapiens (Human)	1230	mitochondrial DNA-directed RNA polymerase complex [GO:0034245]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991]; 3'-5'-RNA exonuclease activity [GO:0000175]; DNA-directed RNA polymerase activity [GO:0003899]; mitochondrial promoter sequence-specific DNA binding [GO:0001018]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; mitochondrial DNA replication [GO:0006264]; mitochondrial transcription [GO:0006390]; transcription initiation at mitochondrial promoter [GO:0006391]
O00422	reviewed	SAP18_HUMAN	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	SAP18 GIG38	Homo sapiens (Human)	153	ASAP complex [GO:0061574]; cytosol [GO:0005829]; histone deacetylase complex [GO:0000118]; nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA binding [GO:0003723]; transcription corepressor activity [GO:0003714]; mRNA processing [GO:0006397]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; positive regulation of apoptotic process [GO:0043065]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA splicing [GO:0008380]
O00425	reviewed	IF2B3_HUMAN	Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3)	IGF2BP3 IMP3 KOC1 VICKZ3	Homo sapiens (Human)	579	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; N6-methyladenosine-containing RNA reader activity [GO:1990247]; RNA binding [GO:0003723]; translation regulator activity [GO:0045182]; anatomical structure morphogenesis [GO:0009653]; CRD-mediated mRNA stabilization [GO:0070934]; mRNA transport [GO:0051028]; negative regulation of translation [GO:0017148]; nervous system development [GO:0007399]; regulation of cytokine production [GO:0001817]; translation [GO:0006412]
O00442	reviewed	RTCA_HUMAN	RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1) (RTC domain-containing protein 1)	RTCA RPC RPC1 RTC1 RTCD1	Homo sapiens (Human)	366	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA-3'-phosphate cyclase activity [GO:0003963]; negative regulation of optical nerve axon regeneration [GO:1905592]; RNA processing [GO:0006396]
O00541	reviewed	PESC_HUMAN	Pescadillo homolog	PES1	Homo sapiens (Human)	588	chromosome [GO:0005694]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; PeBoW complex [GO:0070545]; preribosome, large subunit precursor [GO:0030687]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; cell population proliferation [GO:0008283]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; regulation of cell cycle [GO:0051726]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]
O00566	reviewed	MPP10_HUMAN	U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10)	MPHOSPH10 MPP10	Homo sapiens (Human)	681	chromosome [GO:0005694]; Mpp10 complex [GO:0034457]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]; sno(s)RNA-containing ribonucleoprotein complex [GO:0005732]; RNA binding [GO:0003723]; maturation of SSU-rRNA [GO:0030490]; ribosomal small subunit biogenesis [GO:0042274]; RNA processing [GO:0006396]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]
O00567	reviewed	NOP56_HUMAN	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56 NOL5A	Homo sapiens (Human)	594	box C/D methylation guide snoRNP complex [GO:0031428]; cytoplasm [GO:0005737]; fibrillar center [GO:0001650]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; pre-snoRNP complex [GO:0070761]; small-subunit processome [GO:0032040]; sno(s)RNA-containing ribonucleoprotein complex [GO:0005732]; cadherin binding [GO:0045296]; histone methyltransferase binding [GO:1990226]; RNA binding [GO:0003723]; snoRNA binding [GO:0030515]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]
